# step time temp etotal ke pe enthalpy density vol press
70 0.035000000000000003331 213.03300803315016765 33994.469787802510837 4647.645006381908388 29346.82478142060063 4034.4687962110328954 0.78608294949896584392 162888.26940146790002 -12611.7724065729617
75 0.037499999999999998612 210.79116059808512773 33982.347768894331239 4598.7356325114105857 29383.612136382922472 11270.654932321598608 0.78712270927533511955 162673.10006564480136 -9573.2163408837368479
80 0.040000000000000000833 195.71031353120636709 33967.295459687906259 4269.7235971958243681 29697.571862492080982 11388.817715151461016 0.78838633623235521153 162412.36734492398682 -9532.3432406333013205
85 0.042500000000000003053 205.93987423684816918 33955.25600666639366 4492.8973070824094975 29462.358699583986891 18401.160668331263878 0.78983535181315167595 162114.40897897267132 -6578.8085761510774319
90 0.044999999999999998335 218.56627949243696207 33970.087709218620148 4768.3618929533449773 29201.72581626527608 31327.488561621797999 0.79135830532837914131 161802.42298304493306 -1119.8771420750153993
95 0.047500000000000000555 207.95240676323803086 34008.820831137425557 4536.8038210673284993 29472.017010070096148 37282.710516394217848 0.79278861637486264247 161510.50684277707478 1389.9122168035357845
100 0.050000000000000002776 210.18834146293843901 34050.862227436082321 4585.5841994584634449 29465.278027977616148 39479.493141838378506 0.79404783456491290217 161254.37999594537541 2308.3566314907275228
105 0.052499999999999998057 228.10889399986925241 34093.526426277865539 4976.5488076139772602 29116.977618663891917 47200.759132186874922 0.79510968162059769693 161039.02921784142382 5580.8966065275490109
110 0.055000000000000000278 218.10914693264862763 34146.500580774496484 4758.3888381747910898 29388.111742599703575 54635.339251659483125 0.79589811925038778107 160879.49971597528202 8732.5432720362023247
115 0.057500000000000002498 205.23893074730963804 34189.739491916960105 4477.6051392677263721 29712.134352649234643 54338.454727279022336 0.79635267883866522887 160787.66939870954957 8592.4839457012294588
120 0.05999999999999999778 215.34777319642324755 34217.902280165770208 4698.1451934250299018 29519.757086740741215 53385.001709282034426 0.79650149079221987947 160757.62911947927205 8175.3981767491495702
125 0.0625 221.21330160754416738 34241.829268921683251 4826.110779985659974 29415.718488936025096 56648.492997497189208 0.79637911401444883008 160782.33217899900046 9555.7104843830074969
130 0.06500000000000000222 216.12538528477813315 34256.331787987684947 4715.1100054638409347 29541.221782523847651 56562.21896764493431 0.7959763920738258669 160863.67953235996538 9507.9220711860052688
135 0.067500000000000004441 212.4632224993156342 34268.819945435076079 4635.2142525025719806 29633.605692932502279 51290.448825428116834 0.79532138252492234898 160996.16339169105049 7249.527494514094542
140 0.070000000000000006661 218.35975296869858653 34282.142729927276378 4763.8561969788097485 29518.286532948462991 47757.104576941979758 0.7944982192377142427 161162.96820997315808 5733.0588180250069854
145 0.072499999999999995004 215.47306319028407984 34299.059139448814676 4700.8785886847272195 29598.180550764085638 46802.091749328646983 0.79356864849876851409 161351.75134768031421 5313.3177767958495679
150 0.074999999999999997224 216.36049639183562476 34320.635904940063483 4720.2393183940257586 29600.396586546041362 43068.598984758471488 0.79256392795560504094 161556.29436753815389 3712.847990292803388
155 0.077499999999999999445 233.91265477943446172 34347.183661116228905 5103.1668376292327594 29244.016823486992507 37569.604463500909333 0.79154205381342757075 161764.86218642388121 1365.9102718358424227
160 0.080000000000000001665 230.41569087913529756 34387.119524323607038 5026.875154200558427 29360.24437012305134 34688.467832396891026 0.79057349053088288304 161963.04680530662881 127.57833502820955118
165 0.082500000000000003886 216.526235899802316 34428.696910738617589 4723.8551824503683747 29704.841728288251034 32838.373254207814171 0.78969458389321056657 162143.30687014464638 -672.52836130111245438
170 0.085000000000000006106 226.50684513869956049 34466.735257691849256 4941.5976305248550489 29525.137627166994207 29776.448307764218043 0.78892398605656044452 162301.68370201913058 -1981.5293021986133226
175 0.087500000000000008327 231.92867559532029986 34508.558783287029655 5059.8832590282163437 29448.67552425881513 27271.348822101659607 0.788288643315128712 162432.49517258474953 -3055.0784529501461293
