    #index           Reference          Calculated         Polynomials    Electrostatics (Permanent + Induced)    
       107     -5.55300000e+00     -4.77993507e+00     -3.05733901e+00                         -1.72259606e+00    
       108     -9.64000000e-01     -5.66530461e+00     -4.85846583e+00                         -8.06838781e-01    
       109     -1.57970000e+01     -3.16840090e+00     -1.65673897e+00                         -1.51166192e+00    
       110     -4.91200000e+00     -6.89695827e+00     -4.56939389e+00                         -2.32756438e+00    
       111     -4.79700000e+00     -4.28396446e+00     -2.18311051e+00                         -2.10085395e+00    
       112     -1.15400000e+01     -8.89479371e+00     -6.93137644e+00                         -1.96341727e+00    
       113     -2.35400000e+00     -6.88823929e+00     -4.86944694e+00                         -2.01879236e+00    
       114     -1.28500000e+00     -5.92794257e+00     -4.10186117e+00                         -1.82608140e+00    
       115     -3.26550000e+01     -9.37046867e+00     -5.13158990e+00                         -4.23887877e+00    
       116     -7.95800000e+00     -8.67208619e+00     -6.95204514e+00                         -1.72004105e+00    
       117     -3.16700000e+00     -4.79845462e+00     -1.61999739e+00                         -3.17845723e+00    
       118     -8.20000000e-02     -5.46745153e+00     -2.26345170e+00                         -3.20399982e+00    
       119     -1.47000000e+00     -4.34214108e+00     -3.29550009e+00                         -1.04664099e+00    
       120     -1.55200000e+00     -4.17755524e+00     -1.98084476e+00                         -2.19671048e+00    
       121     -3.47590000e+01     -7.99239776e+00     -5.29491138e+00                         -2.69748638e+00    
       122     -6.15000000e-01     -2.72806029e+00     -2.07588929e-01                         -2.52047136e+00    
       123     -5.21900000e+00     -6.50045711e+00     -2.86126247e+00                         -3.63919464e+00    
       124     -1.50200000e+00     -1.22659528e+01     -9.95009974e+00                         -2.31585302e+00    
       125     -1.53900000e+00     -3.31093330e+00     -6.13402326e-01                         -2.69753097e+00    
       126     -7.65600000e+00     -4.26822027e+00     -4.02933546e-01                         -3.86528672e+00    
       127     -1.87100000e+00     -7.98556990e+00     -7.15244098e+00                         -8.33128918e-01    
       128     -6.94000000e-01     -7.45641515e+00     -5.85645939e+00                         -1.59995576e+00    
       129     -4.81500000e+00     -2.85585196e+00     -1.00340235e+00                         -1.85244961e+00    
       130     -1.76500000e+00     -1.16754546e+01     -9.35130921e+00                         -2.32414539e+00    
       131     -4.71600000e+00     -5.58583809e+00     -2.36139866e+00                         -3.22443943e+00    
       132     -1.13390000e+01     -1.41440210e+01     -9.28135707e+00                         -4.86266395e+00    
       133     -9.32700000e+00     -7.39527722e+00     -5.66322031e+00                         -1.73205692e+00    
       134     -8.69000000e+00     -8.00192745e+00     -5.72348419e+00                         -2.27844326e+00    
       135     -4.82100000e+00     -5.30746742e+00     -2.91946473e+00                         -2.38800269e+00    
       136     -1.24600000e+00     -8.13708071e+00     -4.18955392e+00                         -3.94752679e+00    
       137     -3.78700000e+00     -1.20235584e+01     -8.88139834e+00                         -3.14216008e+00    
       138     -2.04810000e+01     -1.61728858e+01     -1.46752146e+01                         -1.49767118e+00    
       139     -5.84000000e-01     -4.57220599e+00     -3.02470543e+00                         -1.54750056e+00    
       140      2.10000000e-02     -6.23942589e+00     -5.35249694e+00                         -8.86928945e-01    
       141     -1.13620000e+01     -7.32157375e+00     -5.58140817e+00                         -1.74016558e+00    
       142     -2.86890000e+01     -6.22955605e+00     -5.22706497e+00                         -1.00249108e+00    
       143     -6.40000000e-01     -2.23161503e+00     -6.94654851e-01                         -1.53696018e+00    
       144     -2.45300000e+00      1.60586524e-01      7.82706726e-01                         -6.22120202e-01    
       145     -3.97000000e-01     -6.42508336e+00     -4.37942262e+00                         -2.04566074e+00    
       146     -5.22000000e-01     -4.24039832e+00     -2.44999899e+00                         -1.79039933e+00    
       147     -4.76700000e+00     -1.89849024e+00      1.97946858e-01                         -2.09643710e+00    
       148     -6.52700000e+00     -7.49700719e+00     -4.57756428e+00                         -2.91944291e+00    
       149     -3.29800000e+00     -5.70619451e+00     -3.04373011e+00                         -2.66246439e+00    
       150     -9.05600000e+00     -3.17385189e+00     -1.43000018e+00                         -1.74385172e+00    
       151     -2.57200000e+00     -2.82865360e+00     -7.88688856e-01                         -2.03996474e+00    
       152     -2.12700000e+00     -3.17318622e+00     -1.24248814e+00                         -1.93069809e+00    
       153     -2.69800000e+00     -2.48258547e+00     -1.02182364e+00                         -1.46076183e+00    
       154     -8.85100000e+00     -4.48061459e+00     -1.71712232e+00                         -2.76349227e+00    
       155     -1.51400000e+00     -2.24369304e+00     -7.36044912e-01                         -1.50764813e+00    
       156     -3.95500000e+00     -3.47782629e+00     -1.82475538e+00                         -1.65307091e+00    
       157     -2.48400000e+00     -2.70426671e+00     -8.66490745e-01                         -1.83777596e+00    
       158     -1.72600000e+00     -3.65651826e+00     -1.55794680e+00                         -2.09857146e+00    
       159     -1.95800000e+00     -1.72132492e+00     -3.72576642e-01                         -1.34874828e+00    
       160     -1.71000000e+00     -1.85452155e+00     -3.11915883e-01                         -1.54260566e+00    
       161     -7.24000000e-01     -1.86698566e+00     -6.22377024e-01                         -1.24460864e+00    
       162     -2.59600000e+00     -2.60450743e+00     -8.14861371e-01                         -1.78964606e+00    
       163     -4.83700000e+00     -3.35561587e+00     -7.76767019e-01                         -2.57884885e+00    
       164     -1.34300000e+00     -4.32465534e+00     -2.48364148e+00                         -1.84101386e+00    
       165     -2.66200000e+00     -2.82642322e+00     -1.40937202e+00                         -1.41705120e+00    
       166     -1.57800000e+00     -1.32242031e+00     -7.13030185e-02                         -1.25111729e+00    
       167     -2.65700000e+00     -2.49417459e+00     -1.38942187e+00                         -1.10475272e+00    
       168     -1.42390000e+01     -3.68248376e+00     -1.20451666e+00                         -2.47796710e+00    
       169     -9.66500000e+00     -5.47934139e+00     -3.37578317e+00                         -2.10355822e+00    
       170     -8.82400000e+00     -6.73871639e+00     -5.65474773e+00                         -1.08396866e+00    
       171     -3.47000000e+00     -1.77583336e+00     -7.45932892e-01                         -1.02990047e+00    
       172     -5.50100000e+00     -2.19692974e+00     -8.74830122e-01                         -1.32209962e+00    
       173     -1.01580000e+01     -6.96606116e+00     -4.32790637e+00                         -2.63815479e+00    
       174     -4.20300000e+00     -2.27249354e+00     -9.34542055e-01                         -1.33795149e+00    
       175     -1.90900000e+00     -4.84961724e+00     -2.60129872e+00                         -2.24831852e+00    
       176     -1.50000000e-01     -2.69866663e+00     -1.71735488e+00                         -9.81311750e-01    
       177     -8.92000000e-01     -2.34618697e+00      9.50287665e-02                         -2.44121574e+00    
       178     -1.50300000e+00     -4.80918859e+00     -2.18749178e+00                         -2.62169681e+00    
       179     -4.47300000e+00     -1.57006766e+00     -3.27416674e-01                         -1.24265099e+00    
       180     -6.09000000e-01     -2.43772271e+00     -6.75127818e-01                         -1.76259489e+00    
       181     -7.31800000e+00     -3.20286509e+00     -1.82140711e+00                         -1.38145798e+00    
       182     -2.25200000e+00     -2.82585763e+00     -2.00748206e+00                         -8.18375575e-01    
       183     -2.16300000e+00     -2.18841127e+00     -1.48490565e+00                         -7.03505626e-01    
       184     -2.82400000e+00     -4.62692364e+00     -2.63523274e+00                         -1.99169090e+00    
       185     -6.66700000e+00     -2.89690598e+00     -4.43032227e-01                         -2.45387375e+00    
       186     -8.70000000e-01     -1.30853308e+00     -3.80613540e-01                         -9.27919542e-01    
       187     -3.08600000e+00     -2.62683879e+00     -6.25419369e-01                         -2.00141942e+00    
       188     -3.30000000e-01     -2.97831810e+00     -1.97689448e+00                         -1.00142362e+00    
       189     -1.63000000e+00     -2.91529196e+00     -1.91098614e+00                         -1.00430582e+00    
       190     -1.03800000e+00     -2.28466515e+00     -1.49177400e+00                         -7.92891158e-01    
       191     -2.15800000e+00     -2.93614296e+00     -2.60929496e+00                         -3.26847999e-01    
       192     -7.43900000e+00     -2.93968894e+00     -2.18592169e+00                         -7.53767242e-01    
       193     -3.08000000e-01     -2.76825259e+00     -1.89765953e+00                         -8.70593062e-01    
       194     -6.96500000e+00     -4.92158342e+00     -3.03909719e+00                         -1.88248623e+00    
       195     -9.17100000e+00     -8.03767128e+00     -6.97468774e+00                         -1.06298354e+00    
       196     -9.46600000e+00     -4.11574020e+00     -3.07199611e+00                         -1.04374409e+00    
       197     -5.14400000e+00     -4.45041683e+00     -2.50677942e+00                         -1.94363741e+00    
       198     -4.67600000e+00     -3.27284257e+00     -1.63838217e+00                         -1.63446040e+00    
       199     -8.51500000e+00     -3.45686796e+00     -1.97235537e+00                         -1.48451259e+00    
       200     -9.16000000e-01     -2.13983810e+00     -1.13929435e+00                         -1.00054374e+00    
       201     -1.43160000e+01     -3.67731827e+00     -2.73397619e+00                         -9.43342078e-01    
       202     -2.86400000e+00     -1.87744803e+00     -9.77093938e-01                         -9.00354094e-01    
       203     -1.26500000e+00     -4.94689934e+00     -3.07211902e+00                         -1.87478032e+00    
       204     -2.44400000e+00     -2.43513341e+00     -2.50646944e+00                          7.13360253e-02    
       205     -2.72200000e+00     -2.74568861e+00     -9.92076468e-01                         -1.75361214e+00    
       206     -4.44000000e-01     -3.88721905e+00     -2.82870274e+00                         -1.05851631e+00    
       207     -1.21000000e-01     -1.55234125e+00     -1.32618691e+00                         -2.26154337e-01    
       208     -5.32000000e-01     -3.17698104e+00     -9.36222428e-01                         -2.24075861e+00    
       209     -2.14400000e+00     -1.58423726e+00      2.75665480e-01                         -1.85990274e+00    
       210     -1.38900000e+00     -3.29033068e+00     -1.84058834e+00                         -1.44974234e+00    
       211     -1.30540000e+01     -4.22501312e+00     -7.74592319e-01                         -3.45042080e+00    
       212     -2.05000000e-01     -1.51251324e+00     -7.99199486e-01                         -7.13313751e-01    
       213     -2.81000000e-01     -5.82497647e-01      2.10025456e-01                         -7.92523103e-01    
       214     -3.56100000e+00     -3.35025283e+00     -2.64095058e+00                         -7.09302256e-01    
       215     -1.01000000e-01     -2.92306410e+00     -1.19755773e+00                         -1.72550637e+00    
       216     -1.32100000e+00     -2.85309507e+00     -1.35432734e+00                         -1.49876773e+00    
       217     -8.14100000e+00     -4.13678299e+00     -1.72085552e+00                         -2.41592747e+00    
       218     -7.94900000e+00     -2.32599286e+00     -1.04576729e+00                         -1.28022557e+00    
       219     -3.38000000e-01     -3.36141175e+00     -2.34611602e+00                         -1.01529573e+00    
       220     -3.23800000e+00     -2.83198374e+00     -1.52574288e+00                         -1.30624085e+00    
       221     -6.81700000e+00     -1.89264487e+00     -1.20774158e+00                         -6.84903282e-01    
       222     -2.43000000e-01     -6.65882717e+00     -5.67831795e+00                         -9.80509225e-01    
       223     -8.98000000e-01     -2.53965740e+00     -1.65539057e+00                         -8.84266836e-01    
       224     -7.48000000e-01     -2.27540599e+00     -1.03811572e+00                         -1.23729027e+00    
       225     -4.00400000e+00     -3.08081761e+00     -1.13884802e+00                         -1.94196959e+00    
       226     -8.18000000e-01     -4.92904368e+00     -4.52036838e+00                         -4.08675298e-01    
       227     -5.63100000e+00     -2.78444022e+00     -1.98319450e+00                         -8.01245717e-01    
       228     -2.09600000e+00     -4.46066440e+00     -2.94180891e+00                         -1.51885549e+00    
       229     -9.35900000e+00     -2.47483699e+00     -1.46199466e+00                         -1.01284233e+00    
       230     -2.96000000e-01     -2.78626393e+00     -1.52259707e+00                         -1.26366686e+00    
       231     -7.62100000e+00     -3.38007033e+00     -2.00078092e+00                         -1.37928941e+00    
       232     -6.91000000e-01     -3.55878895e+00     -2.48097100e+00                         -1.07781795e+00    
       233     -1.06800000e+00     -5.50028481e+00     -1.56744735e+00                         -3.93283746e+00    
       234     -2.61000000e+00     -1.05298101e+00     -1.24601703e-01                         -9.28379305e-01    
       235     -4.08900000e+00     -7.13725107e+00     -6.56004253e+00                         -5.77208537e-01    
       236     -8.06300000e+00     -4.77148710e+00     -2.23754734e+00                         -2.53393976e+00    
       237     -1.49600000e+00     -3.48407725e+00     -2.05665976e+00                         -1.42741749e+00    
       238     -1.80300000e+00     -3.42855210e+00     -8.52060764e-01                         -2.57649134e+00    
       239     -1.16560000e+01     -3.00085223e+00     -2.09523735e+00                         -9.05614878e-01    
       240     -1.05190000e+01     -8.17355940e+00     -7.60723961e+00                         -5.66319792e-01    
       241     -9.34900000e+00     -3.35066091e+00     -1.04435162e+00                         -2.30630929e+00    
