    #index           Reference          Calculated         Polynomials          Dispersion    Electrostatics (Permanent + Induced)    
        82     -9.31800000e+00     -9.51208277e+00      1.11012913e+00     -3.43690065e+00                         -7.18531125e+00    
        83     -1.00030000e+01     -9.96966562e+00      1.57791169e+00     -2.95024294e+00                         -8.59733437e+00    
        84     -4.11300000e+00     -4.96404046e+00      1.80955306e+00     -3.04286262e+00                         -3.73073090e+00    
        85     -6.64400000e+00     -6.59141020e+00     -8.09085342e-01     -1.57305430e+00                         -4.20927056e+00    
        86     -8.94400000e+00     -1.04474231e+01      2.02054136e+00     -2.94708193e+00                         -9.52088252e+00    
        87     -1.01170000e+01     -1.03209009e+01      1.49850734e+00     -3.33451513e+00                         -8.48489316e+00    
        88     -5.85700000e+00     -6.34840215e+00      2.69270086e+00     -2.54737102e+00                         -6.49373199e+00    
        89     -5.87200000e+00     -6.35581484e+00     -5.22168881e-02     -1.93246320e+00                         -4.37113475e+00    
        90     -4.06200000e+00     -4.88265790e+00      2.35909767e+00     -2.55435388e+00                         -4.68740169e+00    
        91     -6.70200000e+00     -6.97786444e+00      4.19889080e-01     -2.04380139e+00                         -5.35395212e+00    
        92     -9.60600000e+00     -9.81823292e+00      2.81443992e+00     -3.33239889e+00                         -9.30027395e+00    
        93     -1.91480000e+01     -1.64981907e+01      3.66892090e+00     -5.87063093e+00                         -1.42964807e+01    
        94     -9.02900000e+00     -9.47210505e+00      4.51865625e+00     -3.55090863e+00                         -1.04398527e+01    
        95     -6.17700000e+00     -7.23666776e+00      2.25878003e+00     -2.78628188e+00                         -6.70916590e+00    
        96     -2.25600000e+00     -2.27681524e+00      1.86904899e+00     -1.63690403e+00                         -2.50896019e+00    
        97     -2.94500000e+00     -4.04489017e+00      4.02513188e+00     -2.87236022e+00                         -5.19766183e+00    
        98     -1.02390000e+01     -9.82001350e+00      1.20354957e+00     -2.89985061e+00                         -8.12371247e+00    
        99     -4.70600000e+00     -5.08305226e+00      2.61909139e+00     -2.47544261e+00                         -5.22670104e+00    
       100     -1.58890000e+01     -1.38182858e+01     -2.63598579e-01     -4.34780435e+00                         -9.20688288e+00    
       101     -8.72400000e+00     -9.71283765e+00     -8.73407472e-01     -2.27088465e+00                         -6.56854552e+00    
       102     -4.22900000e+00     -4.28766058e+00      6.39584274e-01     -1.94494617e+00                         -2.98229868e+00    
       103     -2.33000000e+00     -3.84059066e+00      1.15117124e+00     -2.54151369e+00                         -2.45024821e+00    
       104     -7.22300000e+00     -7.45662476e+00      8.36644816e-01     -2.19145359e+00                         -6.10181599e+00    
       105     -7.60700000e+00     -7.64887453e+00      3.79512551e+00     -3.29609345e+00                         -8.14790660e+00    
       106     -3.64300000e+00     -3.77724836e+00      3.87845204e+00     -2.52979981e+00                         -5.12590059e+00    
       107     -4.76400000e+00     -5.45104192e+00      2.75326068e+00     -2.77555499e+00                         -5.42874761e+00    
       108     -6.60700000e+00     -6.57370754e+00      2.29154185e+00     -2.92750179e+00                         -5.93774761e+00    
