#     index      Reference     Calculated        Error^2    
       211 5.26981747e+00 5.60742257e+00 1.13977204e-01    
       212 3.72781747e+00 3.67390430e+00 2.90663019e-03    
       213 3.13681747e+00 3.15365461e+00 2.83489342e-04    
       214 3.79781747e+00 3.80864226e+00 1.17176013e-04    
       215 2.93781747e+00 3.17511516e+00 5.63101925e-02    
       216 5.39681747e+00 5.49286796e+00 9.22569726e-03    
       217 4.18781747e+00 4.02331019e+00 2.70626446e-02    
       218 1.56481747e+00 1.60690709e+00 1.77153620e-03    
       219 7.54281747e+00 7.17986569e+00 1.31733996e-01    
       220 2.46281747e+00 2.54711591e+00 7.10622619e-03    
       221 4.80881747e+00 5.11716584e+00 9.50787173e-02    
       222 2.48681747e+00 2.51788757e+00 9.65351024e-04    
       223 2.37581747e+00 2.20896942e+00 2.78382705e-02    
       224 5.25181747e+00 6.00631332e+00 5.69263984e-01    
       225 3.03481747e+00 2.87879943e+00 2.43416276e-02    
       226 4.99681747e+00 5.15323043e+00 2.44650135e-02    
       227 4.32281747e+00 4.13723506e+00 3.44408291e-02    
       228 3.40881747e+00 3.14756497e+00 6.82528668e-02    
       229 3.01781747e+00 3.44174956e+00 1.79718414e-01    
       230 2.05081747e+00 2.20172630e+00 2.27734762e-02    
       231 5.21581747e+00 5.27842511e+00 3.91971618e-03    
       232 6.79981747e+00 6.23820260e+00 3.15411268e-01    
       233 4.93881747e+00 5.05370161e+00 1.31983659e-02    
       234 3.90581747e+00 4.05738134e+00 2.29716054e-02    
       235 3.61381747e+00 3.48061053e+00 1.77440883e-02    
       236 7.20281747e+00 7.28496204e+00 6.74773088e-03    
       237 5.21981747e+00 4.97904821e+00 5.79698345e-02    
       238 5.66781747e+00 6.16157257e+00 2.43794097e-01    
       239 6.67981747e+00 7.01780403e+00 1.14234914e-01    
       240 3.66481747e+00 3.83419252e+00 2.86879073e-02    
       241 4.17181747e+00 4.40853478e+00 5.60350845e-02    
       242 3.72781747e+00 3.84264985e+00 1.31864748e-02    
       243 3.61481747e+00 3.58755119e+00 7.43450062e-04    
       244 2.47681747e+00 2.69650892e+00 4.82643314e-02    
       245 2.22381747e+00 2.29847089e+00 5.57313352e-03    
       246 1.02238175e+01 9.71451666e+00 2.59387313e-01    
       247 5.50981747e+00 5.97131216e+00 2.12977352e-01    
       248 2.36581747e+00 2.58060561e+00 4.61339469e-02    
       249 2.65481747e+00 2.60766183e+00 2.22365475e-03    
       250 4.33181747e+00 4.30126119e+00 9.33686307e-04    
       251 4.69781747e+00 4.93486172e+00 5.61899786e-02    
       252 6.83981747e+00 6.59879148e+00 5.80935294e-02    
       253 2.04781747e+00 2.12196052e+00 5.49719222e-03    
       254 4.22881747e+00 4.70244422e+00 2.24322302e-01    
       255 6.71181747e+00 6.98107263e+00 7.24983427e-02    
       256 3.30581747e+00 3.11829467e+00 3.51648017e-02    
       257 3.20981747e+00 3.34255982e+00 1.76205312e-02    
       258 7.80681747e+00 7.47470201e+00 1.10300679e-01    
       259 6.23581747e+00 5.98530812e+00 6.27549342e-02    
       260 3.82081747e+00 3.44711800e+00 1.39651293e-01    
       261 4.02981747e+00 3.77904627e+00 6.28861943e-02    
       262 4.11381747e+00 4.12968117e+00 2.51656845e-04    
       263 5.44181747e+00 5.53147197e+00 8.03792937e-03    
       264 7.79181747e+00 8.03069970e+00 5.70647218e-02    
       265 3.32781747e+00 3.08235590e+00 6.02513832e-02    
       266 3.51581747e+00 3.37873963e+00 1.87903353e-02    
       267 2.08181747e+00 2.31748011e+00 5.55368811e-02    
       268 1.54081747e+00 1.65040986e+00 1.20104923e-02    
       269 5.01581747e+00 5.17573458e+00 2.55734822e-02    
       270 2.28081747e+00 2.61064805e+00 1.08788210e-01    
       271 1.78281747e+00 1.67414163e+00 1.18104382e-02    
       272 5.77881747e+00 5.70591908e+00 5.31417456e-03    
       273 9.20817470e-01 9.19262904e-01 2.41667545e-06    
       274 5.30781747e+00 5.45660295e+00 2.21371179e-02    
       275 6.04681747e+00 5.86958152e+00 3.14125837e-02    
       276 3.73781747e+00 3.63104994e+00 1.13993051e-02    
       277 5.22981747e+00 5.27955966e+00 2.47428559e-03    
       278 3.72781747e+00 3.66653565e+00 3.75546090e-03    
       279 3.66781747e+00 3.72493328e+00 3.26221596e-03    
       280 9.26881747e+00 8.33512636e+00 8.71779095e-01    
       281 3.98981747e+00 3.94787922e+00 1.75881648e-03    
       282 3.48081747e+00 3.22516343e+00 6.53589867e-02    
       283 5.69581747e+00 5.30493693e+00 1.52787600e-01    
       284 3.91681747e+00 3.86203741e+00 3.00085496e-03    
       285 4.96881747e+00 4.98555593e+00 2.80175903e-04    
       286 4.47681747e+00 4.95614880e+00 2.29758523e-01    
       287 1.88681747e+00 1.75890549e+00 1.63614747e-02    
       288 4.49881747e+00 4.35553236e+00 2.05306215e-02    
       289 3.51281747e+00 3.79751579e+00 8.10531336e-02    
       290 6.23281747e+00 5.76110059e+00 2.22516811e-01    
       291 2.29381747e+00 2.37584789e+00 6.72898988e-03    
       292 6.20981747e+00 6.33873069e+00 1.66186177e-02    
       293 3.51081747e+00 3.39594999e+00 1.31945386e-02    
       294 6.05481747e+00 6.51684686e+00 2.13471159e-01    
       295 3.58181747e+00 3.82504142e+00 5.91578879e-02    
       296 4.53381747e+00 4.31662917e+00 4.71707595e-02    
       297 5.99681747e+00 5.75913427e+00 5.64933012e-02    
       298 4.23981747e+00 4.39443080e+00 2.39052826e-02    
       299 3.59981747e+00 3.24759820e+00 1.24058412e-01    
       300 4.54481747e+00 4.34818169e+00 3.86656315e-02    
       301 4.70581747e+00 4.76601092e+00 3.62325157e-03    
       302 5.27381747e+00 5.10960249e+00 2.69665581e-02    
       303 2.25081747e+00 2.27763255e+00 7.19048749e-04    
       304 4.62681747e+00 4.87812051e+00 6.31532191e-02    
       305 4.68181747e+00 4.39892774e+00 8.00265979e-02    
       306 3.21681747e+00 3.30876087e+00 8.45358966e-03    
       307 4.73181747e+00 4.40303641e+00 1.08096988e-01    
       308 3.24581747e+00 3.16199815e+00 7.02567845e-03    
       309 2.06381747e+00 2.17407420e+00 1.21565461e-02    
       310 6.03381747e+00 5.86551270e+00 2.83264948e-02    
       311 2.60981747e+00 2.64808356e+00 1.46429334e-03    
       312 5.29781747e+00 4.88080821e+00 1.73896727e-01    
       313 3.60481747e+00 3.34868357e+00 6.56045753e-02    
       314 3.10481747e+00 3.05377591e+00 2.60524093e-03    
       315 3.41781747e+00 3.18230099e+00 5.54680123e-02    
       316 4.13281747e+00 4.03618644e+00 9.33755682e-03    
       317 1.07778175e+01 1.06568077e+01 1.46433641e-02    
       318 2.70881747e+00 2.50441918e+00 4.17786595e-02    
       319 4.01881747e+00 4.45197279e+00 1.87623531e-01    
       320 7.64881747e+00 7.64838102e+00 1.90485062e-07    
       321 1.63381747e+00 1.60917118e+00 6.07439823e-04    
       322 1.36581747e+00 1.26876417e+00 9.41934396e-03    
       323 4.42481747e+00 4.61444198e+00 3.59574536e-02    
       324 5.81481747e+00 5.97410074e+00 2.53711616e-02    
       325 3.57381747e+00 3.33500010e+00 5.70337368e-02    
       326 3.06381747e+00 2.90669239e+00 2.46882894e-02    
       327 5.64281747e+00 4.97846417e+00 4.41365308e-01    
       328 2.50581747e+00 2.47949540e+00 6.92851520e-04    
       329 4.81281747e+00 4.88324376e+00 4.95986201e-03    
       330 3.71181747e+00 3.37557402e+00 1.13059661e-01    
       331 2.16181747e+00 2.27883481e+00 1.36930575e-02    
       332 3.23181747e+00 3.21272764e+00 3.64421498e-04    
       333 4.54081747e+00 4.47314482e+00 4.57958694e-03    
