    #index           Reference          Calculated         Polynomials          Dispersion    Electrostatics (Permanent + Induced)    
        92      3.89481747e+00      4.11520917e+00      4.11520917e+00      0.00000000e+00                          0.00000000e+00    
        93      5.56881747e+00      5.38429697e+00      5.38429697e+00      0.00000000e+00                          0.00000000e+00    
        94      2.91081747e+00      3.03856077e+00      3.03856077e+00      0.00000000e+00                          0.00000000e+00    
        95      3.15381747e+00      3.34818250e+00      3.34818250e+00      0.00000000e+00                          0.00000000e+00    
        96      5.28981747e+00      5.66757171e+00      5.66757171e+00      0.00000000e+00                          0.00000000e+00    
        97      7.52681747e+00      7.04516240e+00      7.04516240e+00      0.00000000e+00                          0.00000000e+00    
        98      2.49781747e+00      2.64113720e+00      2.64113720e+00      0.00000000e+00                          0.00000000e+00    
        99      5.13681747e+00      5.72087160e+00      5.72087160e+00      0.00000000e+00                          0.00000000e+00    
       100      1.77781747e+00      1.82221993e+00      1.82221993e+00      0.00000000e+00                          0.00000000e+00    
       101      7.14381747e+00      6.49064551e+00      6.49064551e+00      0.00000000e+00                          0.00000000e+00    
       102      2.24981747e+00      2.12513769e+00      2.12513769e+00      0.00000000e+00                          0.00000000e+00    
       103      5.49981747e+00      5.86166464e+00      5.86166464e+00      0.00000000e+00                          0.00000000e+00    
       104      4.41981747e+00      4.31916639e+00      4.31916639e+00      0.00000000e+00                          0.00000000e+00    
       105      5.85381747e+00      5.48758736e+00      5.48758736e+00      0.00000000e+00                          0.00000000e+00    
       106      4.47081747e+00      4.28608616e+00      4.28608616e+00      0.00000000e+00                          0.00000000e+00    
       107      6.93981747e+00      7.12714835e+00      7.12714835e+00      0.00000000e+00                          0.00000000e+00    
       108      5.52981747e+00      5.33710371e+00      5.33710371e+00      0.00000000e+00                          0.00000000e+00    
       109      2.60381747e+00      2.42881856e+00      2.42881856e+00      0.00000000e+00                          0.00000000e+00    
       110      2.27681747e+00      2.18997714e+00      2.18997714e+00      0.00000000e+00                          0.00000000e+00    
       111      3.56381747e+00      3.48459108e+00      3.48459108e+00      0.00000000e+00                          0.00000000e+00    
       112      2.38181747e+00      2.57872345e+00      2.57872345e+00      0.00000000e+00                          0.00000000e+00    
       113      4.54681747e+00      4.49844422e+00      4.49844422e+00      0.00000000e+00                          0.00000000e+00    
       114      8.45681747e+00      8.26562515e+00      8.26562515e+00      0.00000000e+00                          0.00000000e+00    
       115      4.23981747e+00      4.15391224e+00      4.15391224e+00      0.00000000e+00                          0.00000000e+00    
       116      2.50081747e+00      2.60447547e+00      2.60447547e+00      0.00000000e+00                          0.00000000e+00    
       117      4.18681747e+00      4.16721297e+00      4.16721297e+00      0.00000000e+00                          0.00000000e+00    
       118      4.10581747e+00      4.12916659e+00      4.12916659e+00      0.00000000e+00                          0.00000000e+00    
       119      2.59881747e+00      2.81336409e+00      2.81336409e+00      0.00000000e+00                          0.00000000e+00    
       120      5.49581747e+00      5.50482126e+00      5.50482126e+00      0.00000000e+00                          0.00000000e+00    
       121      2.68781747e+00      2.54684133e+00      2.54684133e+00      0.00000000e+00                          0.00000000e+00    
       122      5.89881747e+00      5.85965660e+00      5.85965660e+00      0.00000000e+00                          0.00000000e+00    
       123      6.17781747e+00      6.73796581e+00      6.73796581e+00      0.00000000e+00                          0.00000000e+00    
       124      2.03681747e+00      2.04189161e+00      2.04189161e+00      0.00000000e+00                          0.00000000e+00    
       125      8.55817470e-01      7.62086612e-01      7.62086612e-01      0.00000000e+00                          0.00000000e+00    
       126      6.59481747e+00      6.67655825e+00      6.67655825e+00      0.00000000e+00                          0.00000000e+00    
       127      6.07681747e+00      6.38299085e+00      6.38299085e+00      0.00000000e+00                          0.00000000e+00    
       128      2.61281747e+00      2.69239588e+00      2.69239588e+00      0.00000000e+00                          0.00000000e+00    
       129      5.83481747e+00      5.81215870e+00      5.81215870e+00      0.00000000e+00                          0.00000000e+00    
       130      1.74881747e+00      1.80671718e+00      1.80671718e+00      0.00000000e+00                          0.00000000e+00    
       131      3.28481747e+00      3.61030855e+00      3.61030855e+00      0.00000000e+00                          0.00000000e+00    
       132      3.73681747e+00      3.83697245e+00      3.83697245e+00      0.00000000e+00                          0.00000000e+00    
       133      3.29881747e+00      3.12139468e+00      3.12139468e+00      0.00000000e+00                          0.00000000e+00    
       134      5.14881747e+00      4.85929421e+00      4.85929421e+00      0.00000000e+00                          0.00000000e+00    
       135      4.67281747e+00      5.12183675e+00      5.12183675e+00      0.00000000e+00                          0.00000000e+00    
